date,symbol,% change,ltp
23rd Jul,CNXREALTY,1.29,401.05
23rd Jul,BANKNIFTY,1.03,35034.40
23rd Jul,NIFTYPVTBANK,0.886,18287.20
23rd Jul,NIFTYFMCG,0.813,36558.60
23rd Jul,NIFTYPSUBANK,0.743,2428.05
23rd Jul,NIFTYFINSERVICE,0.678,16611.10
23rd Jul,CNXIT,0.384,29894.30
23rd Jul,NIFTYGROWSECT15,0.332,7671.30
23rd Jul,NIFTY,0.202,15856
23rd Jul,CNXMIDCAP,0.169,27584.80
23rd Jul,NIFTY200,0.156,8422.70
23rd Jul,CNXPHARMA,0.154,14597.80
23rd Jul,NIFTY500,0.123,13687
23rd Jul,NIFTYMETAL,0.091,5353.80
23rd Jul,NIFTY50VALUE20,-0.015,8131.80
23rd Jul,CNXNIFTYJUNIOR,-0.120,39312.40
23rd Jul,NIFTYMIDCAP50,-0.183,7574.35
23rd Jul,NIFTYAUTO,-0.337,10201.30
23rd Jul,CNXSMALLCAP,-0.457,10407
23rd Jul,CNXENERGY,-0.491,19503.80
23rd Jul,CNXINFRA,-0.629,4456.35
23rd Jul,NIFTYMEDIA,-0.982,1754